username,timestamp,content,mentions,hashtags,clean_content,signal
Indersinggh ,2025-07-11 06:13:44+00:00,"Indersinggh 
@FIINKNOWLEDGE
·
Jul 11
Replying to 
@FIINKNOWLEDGE
#tradingview 
#INTRADAY 
#optiontrading #optionbuying 
#niftybank #banknifty #bankniftyoption booked.
26","@FIINKNOWLEDGE, @FIINKNOWLEDGE","#tradingview, #INTRADAY, #optiontrading, #optionbuying, #niftybank, #banknifty, #bankniftyoption","indersinggh 


jul 11
replying to 

tradingview 
intraday 
optiontrading optionbuying 
niftybank banknifty bankniftyoption booked
26",1
damodaran_stockanalyst,2025-07-11 06:08:43+00:00,"damodaran_stockanalyst
@damodaran2200
·
Jul 11
Follow:
@simpletricksindia 
@damodaran_stockanalyst for more finance and stock market related videos

#damodaranstockanalyst #simpletricksindia #cryptocurrency #intraday #forex #forextrader #.  #sharemarketindia
15","@damodaran2200, @simpletricksindia, @damodaran_stockanalyst","#damodaranstockanalyst, #simpletricksindia, #cryptocurrency, #intraday, #forex, #forextrader, #sharemarketindia","damodaran_stockanalyst


jul 11
follow
 
 for more finance and stock market related videos

damodaranstockanalyst simpletricksindia cryptocurrency intraday forex forextrader   sharemarketindia
15",0
parin sheth,2025-07-11 05:57:07+00:00,"parin sheth
@ParinSheth
·
Jul 11
#kpit 1265 and vedl 443. 
risk reward ratio favorable.

#nifty #fno #sensex #banknifty #optiontrading #optionbuying #swingtrade #intraday #stockpicks #WealthCreation #BreakoutStocks #BreakoutStock #BREAKOUTSTOCKS
1
228",@ParinSheth,"#kpit, #nifty, #fno, #sensex, #banknifty, #optiontrading, #optionbuying, #swingtrade, #intraday, #stockpicks, #WealthCreation, #BreakoutStocks, #BreakoutStock, #BREAKOUTSTOCKS","parin sheth


jul 11
kpit 1265 and vedl 443 
risk reward ratio favorable

nifty fno sensex banknifty optiontrading optionbuying swingtrade intraday stockpicks wealthcreation breakoutstocks breakoutstock breakoutstocks
1
228",1
Manisha Jadhav,2025-07-11 05:37:38+00:00,"Manisha Jadhav
@BeingHumane14
·
Jul 11
So #nifty50 finally showing it’s true colours. After a looooooooooong consolidation (marked below ) #Nifty was supposed to breakout with atleast 1200-1500 points above but 

And this is why I got trust issues , fake out #nifty 

#optiontrading #heatwave #INTRADAY #sensex
1
2
1.4K",@BeingHumane14,"#nifty50, #Nifty, #nifty, #optiontrading, #heatwave, #INTRADAY, #sensex","manisha jadhav


jul 11
so nifty50 finally showing its true colours after a looooooooooong consolidation marked below  nifty was supposed to breakout with atleast 12001500 points above but 

and this is why i got trust issues  fake out nifty 

optiontrading heatwave intraday sensex
1
2
14k",0
Stock Funda,2025-07-11 05:29:11+00:00,"Stock Funda
@StockFunda369
·
Jul 11
Crizac Ltd

https://clkly.in/pym5r3oxl

#AIAlerts #AIIndicator #AIIndicatorAlert #IndicatorAlert #Pivot #Support #Resistance #profitabletrading #intraday #intradayalerts
1
144",@StockFunda369,"#AIAlerts, #AIIndicator, #AIIndicatorAlert, #IndicatorAlert, #Pivot, #Support, #Resistance, #profitabletrading, #intraday, #intradayalerts","stock funda


jul 11
crizac ltd



aialerts aiindicator aiindicatoralert indicatoralert pivot support resistance profitabletrading intraday intradayalerts
1
144",0
Stock Funda,2025-07-11 05:27:53+00:00,"Stock Funda
@StockFunda369
·
Jul 11
Rallis India Ltd

https://clkly.in/pym5r3oxl

#AIAlerts #AIIndicator #AIIndicatorAlert #IndicatorAlert #Pivot #Support #Resistance #profitabletrading #intraday #intradayalerts
1
49",@StockFunda369,"#AIAlerts, #AIIndicator, #AIIndicatorAlert, #IndicatorAlert, #Pivot, #Support, #Resistance, #profitabletrading, #intraday, #intradayalerts","stock funda


jul 11
rallis india ltd



aialerts aiindicator aiindicatoralert indicatoralert pivot support resistance profitabletrading intraday intradayalerts
1
49",0
Stock Funda,2025-07-11 05:26:42+00:00,"Stock Funda
@StockFunda369
·
Jul 11
Enviro Infra Engineers Ltd

https://clkly.in/pym5r3oxl

#AIAlerts #AIIndicator #AIIndicatorAlert #IndicatorAlert #Pivot #Support #Resistance #profitabletrading #intraday #intradayalerts
1
258",@StockFunda369,"#AIAlerts, #AIIndicator, #AIIndicatorAlert, #IndicatorAlert, #Pivot, #Support, #Resistance, #profitabletrading, #intraday, #intradayalerts","stock funda


jul 11
enviro infra engineers ltd



aialerts aiindicator aiindicatoralert indicatoralert pivot support resistance profitabletrading intraday intradayalerts
1
258",0
Breakout Stocks,2025-07-11 05:25:48+00:00,"Breakout Stocks
@BreakoutStockks
·
Jul 11
TOP ON TOP
#BBL #JAGSON #EIEL 
Nifty -160 
ho kya raha aaj yeh sab

#stockstowatch #btst #charts #chartoftheweek #chartpattern #INTRADAY #StocksToBuy #stockmarketnews #StockMarketUpdate #stockmarketsindia
1
2
804",@BreakoutStockks,"#BBL, #JAGSON, #EIEL, #stockstowatch, #btst, #charts, #chartoftheweek, #chartpattern, #INTRADAY, #StocksToBuy, #stockmarketnews, #StockMarketUpdate, #stockmarketsindia","breakout stocks


jul 11
top on top
bbl jagson eiel 
nifty 160 
ho kya raha aaj yeh sab

stockstowatch btst charts chartoftheweek chartpattern intraday stockstobuy stockmarketnews stockmarketupdate stockmarketsindia
1
2
804",1
Stock Funda,2025-07-11 05:25:39+00:00,"Stock Funda
@StockFunda369
·
Jul 11
NIFTY 25200PE

https://clkly.in/pym5r3oxl

#AIAlerts #AIIndicator #AIIndicatorAlert #IndicatorAlert #Pivot #Support #Resistance #profitabletrading #intraday #intradayalerts
1
44",@StockFunda369,"#AIAlerts, #AIIndicator, #AIIndicatorAlert, #IndicatorAlert, #Pivot, #Support, #Resistance, #profitabletrading, #intraday, #intradayalerts","stock funda


jul 11
nifty 25200pe



aialerts aiindicator aiindicatoralert indicatoralert pivot support resistance profitabletrading intraday intradayalerts
1
44",0
Nukta Business,2025-07-11 05:24:23+00:00,"Nukta Business
@NuktaBusiness
·
Jul 11
The KSE-100 Index soared to an all-time intraday high of 134,530 points on Friday, marking a gain of over 700 points at the start of session.

#Nukta #NuktaPakistan #NuktaBusiness #PSX #KSE100 #Intraday #MacroEconomics
1
59",@NuktaBusiness,"#Nukta, #NuktaPakistan, #NuktaBusiness, #PSX, #KSE100, #Intraday, #MacroEconomics","nukta business


jul 11
the kse100 index soared to an alltime intraday high of 134530 points on friday marking a gain of over 700 points at the start of session

nukta nuktapakistan nuktabusiness psx kse100 intraday macroeconomics
1
59",0
Manisha Jadhav,2025-07-11 05:24:21+00:00,"Manisha Jadhav
@BeingHumane14
·
Jul 11
Me To dear #Nifty50 : बस लिखा था, didn’t mean you had to go that way 

#StockMarketIndia #optiontrading #Grok4 #INTRADAY #sensex
Quote
Manisha Jadhav
@BeingHumane14
·
Jul 4
Support  

#stockmarketsindia #OptionsTrading #Nifty50
153","@BeingHumane14, @BeingHumane14","#Nifty50, #StockMarketIndia, #optiontrading, #Grok4, #INTRADAY, #sensex, #stockmarketsindia, #OptionsTrading, #Nifty50","manisha jadhav


jul 11
me to dear nifty50  बस लख थ didnt mean you had to go that way 

stockmarketindia optiontrading grok4 intraday sensex
quote
manisha jadhav


jul 4
support  

stockmarketsindia optionstrading nifty50
153",0
Mansur|Onimisi|Biggymahn|,2025-07-11 05:17:57+00:00,"Mansur|Onimisi|Biggymahn|
@biggymahnchi
·
Jul 11
#Usdjpy 
#Intraday
11",@biggymahnchi,"#Usdjpy, #Intraday","mansuronimisibiggymahn


jul 11
usdjpy 
intraday
11",0
Kavi Smart Trader-JAKA CAPITALS,2025-07-11 05:10:24+00:00,"Kavi Smart Trader-JAKA CAPITALS
@kavismarttrader
·
Jul 11
 $WOCKPHARMA Intraday + BTST SMC Setup
OB Retest  + CHoCH  + Volume Surge 
Entry: ₹1,752 | SL: ₹1,735 | TP: ₹1,820
Grade: A | RRR: 1:2+
#BTST #Intraday #SMC #VPA #PriceAction #NSEStocks
120",@kavismarttrader,"#BTST, #Intraday, #SMC, #VPA, #PriceAction, #NSEStocks","kavi smart traderjaka capitals


jul 11
 wockpharma intraday  btst smc setup
ob retest   choch   volume surge 
entry 1752  sl 1735  tp 1820
grade a  rrr 12
btst intraday smc vpa priceaction nsestocks
120",0
parin sheth,2025-07-11 05:08:46+00:00,"parin sheth
@ParinSheth
·
Jul 11
#lodha 1422

#nifty #fno #sensex #banknifty #optiontrading #optionbuying #swingtrade #intraday #stockpicks #WealthCreation #BreakoutStocks #BreakoutStock #BREAKOUTSTOCKS
Quote
parin sheth
@ParinSheth
·
Jul 7
#lodha cmp 1380.
Risk reward ratio looking favorable.
Positional buy
138","@ParinSheth, @ParinSheth","#lodha, #nifty, #fno, #sensex, #banknifty, #optiontrading, #optionbuying, #swingtrade, #intraday, #stockpicks, #WealthCreation, #BreakoutStocks, #BreakoutStock, #BREAKOUTSTOCKS, #lodha","parin sheth


jul 11
lodha 1422

nifty fno sensex banknifty optiontrading optionbuying swingtrade intraday stockpicks wealthcreation breakoutstocks breakoutstock breakoutstocks
quote
parin sheth


jul 7
lodha cmp 1380
risk reward ratio looking favorable
positional buy
138",1
Intensify Research,2025-07-11 05:00:54+00:00,"Intensify Research
@Intensifyres
·
Jul 11
Meta Infotech IPO Listing- Shares Surge 39.75% on BSE SME Debut. 166x Demand Stuns Market! - https://intensifyresearch.com/Web/blogPost/584…

Read all stock Market Strategies - http://intensifyresearch.com

#IPOAlert #MetaInfotech #stockmarketcrash #BullRun #INTRADAY #StockMarketNews #Q1Results
1
130",@Intensifyres,"#IPOAlert, #MetaInfotech, #stockmarketcrash, #BullRun, #INTRADAY, #StockMarketNews, #Q1Results","intensify research


jul 11
meta infotech ipo listing shares surge 3975 on bse sme debut 166x demand stuns market  

read all stock market strategies  

ipoalert metainfotech stockmarketcrash bullrun intraday stockmarketnews q1results
1
130",0
Alpha,2025-07-11 04:48:53+00:00,"Alpha
@tradelikealpha1
·
Jul 11
 NIFTY 50 – 5Min
Stuck in a 75pt range 
Now at major support 

 Breakdown after consolidation = momentum 
 Wait for clean break + retest.
No confirmation = No trade.

#nifty50 #priceaction #supportresistance #tradelikealpha_official #intraday
70",@tradelikealpha1,"#nifty50, #priceaction, #supportresistance, #tradelikealpha_official, #intraday","alpha


jul 11
 nifty 50  5min
stuck in a 75pt range 
now at major support 

 breakdown after consolidation  momentum 
 wait for clean break  retest
no confirmation  no trade

nifty50 priceaction supportresistance tradelikealpha_official intraday
70",0
Manisha Jadhav,2025-07-11 04:45:03+00:00,"Manisha Jadhav
@BeingHumane14
·
Jul 11
Replying to 
@BeingHumane14
2/2 And now #stock 2 has stopped performing & #stock 1 starts performing.
As if #stock 1 has been waiting for you to take exit 

Hota hai sabke saath hota hai 

#StockMarketIndia #INTRADAY #Grok4 #Options
45","@BeingHumane14, @BeingHumane14","#stock, #stock, #stock, #StockMarketIndia, #INTRADAY, #Grok4, #Options","manisha jadhav


jul 11
replying to 

22 and now stock 2 has stopped performing  stock 1 starts performing
as if stock 1 has been waiting for you to take exit 

hota hai sabke saath hota hai 

stockmarketindia intraday grok4 options
45",0
Manisha Jadhav,2025-07-11 04:45:02+00:00,"Manisha Jadhav
@BeingHumane14
·
Jul 11
1/2 You have been holding a #stock 1 for long but it’s at the same position for that long time with little bit profit, you see  #stock 2 performing really well so you exit partially from #stock 1 & invest in #stock2

#StockMarketIndia #INTRADAY #Grok4 #Options
1
60",@BeingHumane14,"#stock, #stock, #stock, #stock2, #StockMarketIndia, #INTRADAY, #Grok4, #Options","manisha jadhav


jul 11
12 you have been holding a stock 1 for long but its at the same position for that long time with little bit profit you see  stock 2 performing really well so you exit partially from stock 1  invest in stock2

stockmarketindia intraday grok4 options
1
60",1
Subodh Kumar,2025-07-11 04:36:15+00:00,"Subodh Kumar
@subodhsingh_
·
Jul 11
Forge Auto International, which is a newly listed stock has hit a back to back 2 upper circuit as soon as it crossed the listing day high with huge volume.

Disclaimer : Invested

#stockmarket #trading #investment #loss #profit #intraday
7
3
49
4.5K",@subodhsingh_,"#stockmarket, #trading, #investment, #loss, #profit, #intraday","subodh kumar


jul 11
forge auto international which is a newly listed stock has hit a back to back 2 upper circuit as soon as it crossed the listing day high with huge volume

disclaimer  invested

stockmarket trading investment loss profit intraday
7
3
49
45k",0
TradeX Guru,2025-07-11 04:22:12+00:00,"TradeX Guru
@TradeXGuru_
·
Jul 11
TXG Alpha Indicator. A simple indicator made for Scalping Intraday trades. Look at 5 min intraday Scalping. 
BULLISH candle - Upward bias
Orange candle - Entry bullish
Green dotted line - Target
Red dotted line - SL

#BTC #Bitcoin2025 #BTCUSDT #BinanceTurns8 #scalping #INTRADAY
1
41",@TradeXGuru_,"#BTC, #Bitcoin2025, #BTCUSDT, #BinanceTurns8, #scalping, #INTRADAY","tradex guru


jul 11
txg alpha indicator a simple indicator made for scalping intraday trades look at 5 min intraday scalping 
bullish candle  upward bias
orange candle  entry bullish
green dotted line  target
red dotted line  sl

btc bitcoin2025 btcusdt binanceturns8 scalping intraday
1
41",1
DHIVAKAR,2025-07-11 04:08:03+00:00,"DHIVAKAR
@spider647301
·
Jul 11
SIEMENS Looks weak 
watching for more downtrend
For more details call us :


@SpiderSoftIn
 #INTRADAY #OptionsTrading
Spider Software
1
2
204","@spider647301, @SpiderSoftIn","#INTRADAY, #OptionsTrading","dhivakar


jul 11
siemens looks weak 
watching for more downtrend
for more details call us 



 intraday optionstrading
spider software
1
2
204",0
parin sheth,2025-07-11 04:07:04+00:00,"parin sheth
@ParinSheth
·
Jul 11
#Muthoot getting ready. Sl must

#nifty #fno #sensex #banknifty #optiontrading #optionbuying #swingtrade #intraday #stockpicks #WealthCreation #BreakoutStocks #BreakoutStock #BREAKOUTSTOCKS
Quote
parin sheth
@ParinSheth
·
Jul 10
Market view and 7 to 8 stocks for tomorrow. 

https://youtu.be/AG50dC2PhqA

#nifty #fno #sensex #banknifty #optiontrading #optionbuying #swingtrade #intraday #stockpicks #WealthCreation #BreakoutStocks #BreakoutStock #BREAKOUTSTOCKS
1
1
177","@ParinSheth, @ParinSheth","#Muthoot, #nifty, #fno, #sensex, #banknifty, #optiontrading, #optionbuying, #swingtrade, #intraday, #stockpicks, #WealthCreation, #BreakoutStocks, #BreakoutStock, #BREAKOUTSTOCKS, #nifty, #fno, #sensex, #banknifty, #optiontrading, #optionbuying, #swingtrade, #intraday, #stockpicks, #WealthCreation, #BreakoutStocks, #BreakoutStock, #BREAKOUTSTOCKS","parin sheth


jul 11
muthoot getting ready sl must

nifty fno sensex banknifty optiontrading optionbuying swingtrade intraday stockpicks wealthcreation breakoutstocks breakoutstock breakoutstocks
quote
parin sheth


jul 10
market view and 7 to 8 stocks for tomorrow 



nifty fno sensex banknifty optiontrading optionbuying swingtrade intraday stockpicks wealthcreation breakoutstocks breakoutstock breakoutstocks
1
1
177",1
parin sheth,2025-07-11 04:02:28+00:00,"parin sheth
@ParinSheth
·
Jul 11
#HINDUNILVR 4% +
Again an example of wht happens whn trades r taken without ny confirmation jst based on overbought / oversold indicators.

#nifty #fno #sensex #banknifty #optiontrading #optionbuying #swingtrade #intraday #stockpicks #WealthCreation #BreakoutStocks #BreakoutStock
Quote
parin sheth
@ParinSheth
·
Jul 10
Market view and 7 to 8 stocks for tomorrow. 

https://youtu.be/AG50dC2PhqA

#nifty #fno #sensex #banknifty #optiontrading #optionbuying #swingtrade #intraday #stockpicks #WealthCreation #BreakoutStocks #BreakoutStock #BREAKOUTSTOCKS
1
170","@ParinSheth, @ParinSheth","#HINDUNILVR, #nifty, #fno, #sensex, #banknifty, #optiontrading, #optionbuying, #swingtrade, #intraday, #stockpicks, #WealthCreation, #BreakoutStocks, #BreakoutStock, #nifty, #fno, #sensex, #banknifty, #optiontrading, #optionbuying, #swingtrade, #intraday, #stockpicks, #WealthCreation, #BreakoutStocks, #BreakoutStock, #BREAKOUTSTOCKS","parin sheth


jul 11
hindunilvr 4 
again an example of wht happens whn trades r taken without ny confirmation jst based on overbought  oversold indicators

nifty fno sensex banknifty optiontrading optionbuying swingtrade intraday stockpicks wealthcreation breakoutstocks breakoutstock
quote
parin sheth


jul 10
market view and 7 to 8 stocks for tomorrow 



nifty fno sensex banknifty optiontrading optionbuying swingtrade intraday stockpicks wealthcreation breakoutstocks breakoutstock breakoutstocks
1
170",1
Nikkhil,2025-07-11 04:02:01+00:00,"Nikkhil
@nikkhil23
·
Jul 11
 Nifty 50 #Intraday – Friday, July 11, 2025

 Support Levels: 25202, 25086, 24969
 Resistance Levels: 25360, 25477, 25593

 Analyse the trend before you trade.

#Nifty50 #Nifty #StockMarket #GIFTNifty
#StockMarketIndia #MarketUpdate #NSE
#TradingTips #PriceAction
Show more
103",@nikkhil23,"#Intraday, #Nifty50, #Nifty, #StockMarket, #GIFTNifty, #StockMarketIndia, #MarketUpdate, #NSE, #TradingTips, #PriceAction","nikkhil


jul 11
 nifty 50 intraday  friday july 11 2025

 support levels 25202 25086 24969
 resistance levels 25360 25477 25593

 analyse the trend before you trade

nifty50 nifty stockmarket giftnifty
stockmarketindia marketupdate nse
tradingtips priceaction
show more
103",0
Rajendra Agarwal,2025-07-11 03:50:39+00:00,"Rajendra Agarwal
@AutusInvestment
·
Jul 11
RED Day candle
Today, is weekly candle closing day 

Day candle chart with SSG/ #SGLEVEL

#Nifty #Sensex #Niftybank #Niftyfinservice #NiftyMidSelect
#SGLogic #SGLEVEL #AutusInvestment #INTRADAY #Banknifty #Markets #OptionsTrading #Giftnifty #Research #investments

@SGLEVELS
Show more
Quote
Rajendra Agarwal
@AutusInvestment
·
Jul 10
RED-GREEN (MIX) color Day candle (Inside ZigZag)

Day candle chart without SSG/ #SGLEVEL

#Nifty #Sensex #Niftybank #Niftyfinservice #NiftyMidSelect
#SGLogic #SGLEVEL #AutusInvestment #INTRADAY #Banknifty #Markets #OptionsTrading #Giftnifty #Research #investments
@SGLEVELS  x.com/AutusInvestmen…
2
439","@AutusInvestment, @SGLEVELS, @AutusInvestment, @SGLEVELS","#SGLEVEL, #Nifty, #Sensex, #Niftybank, #Niftyfinservice, #NiftyMidSelect, #SGLogic, #SGLEVEL, #AutusInvestment, #INTRADAY, #Banknifty, #Markets, #OptionsTrading, #Giftnifty, #Research, #investments, #SGLEVEL, #Nifty, #Sensex, #Niftybank, #Niftyfinservice, #NiftyMidSelect, #SGLogic, #SGLEVEL, #AutusInvestment, #INTRADAY, #Banknifty, #Markets, #OptionsTrading, #Giftnifty, #Research, #investments","rajendra agarwal


jul 11
red day candle
today is weekly candle closing day 

day candle chart with ssg sglevel

nifty sensex niftybank niftyfinservice niftymidselect
sglogic sglevel autusinvestment intraday banknifty markets optionstrading giftnifty research investments


show more
quote
rajendra agarwal


jul 10
redgreen mix color day candle inside zigzag

day candle chart without ssg sglevel

nifty sensex niftybank niftyfinservice niftymidselect
sglogic sglevel autusinvestment intraday banknifty markets optionstrading giftnifty research investments
  xcomautusinvestmen
2
439",0
Rajendra Agarwal,2025-07-11 03:46:43+00:00,"Rajendra Agarwal
@AutusInvestment
·
Jul 11
#Nifty PO +  #intraday 5m chart with SSG/ #SGLEVEL
Can compare/study option 1m chart with 5m chart of Nifty 
We traded in 
25500PE from 45 to 158 (9 July also super PA at the SP)
25400PE from 8 to 60
25400CE from 13 to 53

 The Option SP details are shared strictly for
Show more
Quote
Rajendra Agarwal
@AutusInvestment
·
Jul 10
#Nifty Today W-expiry day
Be ready for 25500

#intraday 5m chart with SSG/ #SGLEVEL

#Nifty #Sensex #Niftybank #Niftyfinservice #NiftyMidSelect
#SGLogic #SGLEVEL #AutusInvestment #INTRADAY #Banknifty #Markets #OptionsTrading #Giftnifty #Research #investments
@SGLEVELS  x.com/AutusInvestmen…
1
3
373","@AutusInvestment, @AutusInvestment, @SGLEVELS","#Nifty, #intraday, #SGLEVEL, #Nifty, #intraday, #SGLEVEL, #Nifty, #Sensex, #Niftybank, #Niftyfinservice, #NiftyMidSelect, #SGLogic, #SGLEVEL, #AutusInvestment, #INTRADAY, #Banknifty, #Markets, #OptionsTrading, #Giftnifty, #Research, #investments","rajendra agarwal


jul 11
nifty po   intraday 5m chart with ssg sglevel
can comparestudy option 1m chart with 5m chart of nifty 
we traded in 
25500pe from 45 to 158 9 july also super pa at the sp
25400pe from 8 to 60
25400ce from 13 to 53

 the option sp details are shared strictly for
show more
quote
rajendra agarwal


jul 10
nifty today wexpiry day
be ready for 25500

intraday 5m chart with ssg sglevel

nifty sensex niftybank niftyfinservice niftymidselect
sglogic sglevel autusinvestment intraday banknifty markets optionstrading giftnifty research investments
  xcomautusinvestmen
1
3
373",0
Stock Market Window,2025-07-11 03:35:18+00:00,"Stock Market Window
@window_market
·
Jul 11
INDEX VIEW (11-07-2025)

Nifty
Support - 25175-25225
Resistance - 25410-25460

Bank Nifty
Support - 56500-56600
Resistance - 57100-57200

Views are for educational purpose  
#Nifty #banknifty #trademega #FrontPage_App #trading #DayTrading #INTRADAY #StockMarket #StockMarketIndia
237",@window_market,"#Nifty, #banknifty, #trademega, #FrontPage_App, #trading, #DayTrading, #INTRADAY, #StockMarket, #StockMarketIndia","stock market window


jul 11
index view 11072025

nifty
support  2517525225
resistance  2541025460

bank nifty
support  5650056600
resistance  5710057200

views are for educational purpose  
nifty banknifty trademega frontpage_app trading daytrading intraday stockmarket stockmarketindia
237",0
Shrikant Chouhan,2025-07-11 03:18:45+00:00,"Shrikant Chouhan
@Shrikantequity
·
Jul 11
Market Analysis - Nifty Strategy
https://youtube.com/live/ZVFhXJ5egq8?si=cT8GILm5KVtSIKET…

#NIFTY #NSE #INTRADAY #BSE #Technical #Analysis #BankNifty
#Index #Trending 
@kotaksecurities
 
@KotakBankLtd
  
@Shrikantequity
youtube.com
 [Live] - Expect weakness below 25330 I Market Analysis For...
 [Live] - Expect weakness below 25330 I Market Analysis For Tomorrow I 11th July I Kotak NeoGet expert insights on Nifty, Bank Nifty, and key stock marke...
338","@Shrikantequity, @kotaksecurities, @KotakBankLtd, @Shrikantequity","#NIFTY, #NSE, #INTRADAY, #BSE, #Technical, #Analysis, #BankNifty, #Index, #Trending","shrikant chouhan


jul 11
market analysis  nifty strategy


nifty nse intraday bse technical analysis banknifty
index trending 

 

  

youtubecom
 live  expect weakness below 25330 i market analysis for
 live  expect weakness below 25330 i market analysis for tomorrow i 11th july i kotak neoget expert insights on nifty bank nifty and key stock marke
338",0
Himanshu Chauhan,2025-07-11 03:16:30+00:00,"Himanshu Chauhan
@HimanshuTrader_
·
Jul 11
#OptionsTrading #investing #financialplanning #LearnStockMarket #intraday #education #stockmarketforbeginners #tradingandwealthcoach #tradingandwealthcoachhimanshu 
youtube.com
11 JULY | Nifty, BN & Sensex Prediction | Market Analysis#trading...
Telegram link - https://t.me/TradingAndWealthCoach#NiftyPrediction #BankNiftyAnalysis #tradingandwealthcoachhimanshu  Nifty & Bank Nifty Prediction In this...
1
22",@HimanshuTrader_,"#OptionsTrading, #investing, #financialplanning, #LearnStockMarket, #intraday, #education, #stockmarketforbeginners, #tradingandwealthcoach, #tradingandwealthcoachhimanshu, #trading, #NiftyPrediction, #BankNiftyAnalysis, #tradingandwealthcoachhimanshu","himanshu chauhan


jul 11
optionstrading investing financialplanning learnstockmarket intraday education stockmarketforbeginners tradingandwealthcoach tradingandwealthcoachhimanshu 
youtubecom
11 july  nifty bn  sensex prediction  market analysistrading
telegram link   bankniftyanalysis tradingandwealthcoachhimanshu  nifty  bank nifty prediction in this
1
22",0
truwealth.club,2025-07-11 03:04:48+00:00,"truwealth.club
@truwealth_club
·
Jul 11
Market Update for 11th July 2025    

For more investing insights and market outlook, join our community now: http://tinyurl.com/jointwclub 

#Crudeoil #Q1FY26 #stockmarketcrash #StockMarketNews #INTRADAY NEW ALL TIME HIGH HSBC
1
71",@truwealth_club,"#Crudeoil, #Q1FY26, #stockmarketcrash, #StockMarketNews, #INTRADAY","truwealthclub


jul 11
market update for 11th july 2025    

for more investing insights and market outlook join our community now  

crudeoil q1fy26 stockmarketcrash stockmarketnews intraday new all time high hsbc
1
71",0
Ashok Sharma,2025-07-11 02:54:08+00:00,"Ashok Sharma@Ashokksharma78·Jul 11Technically 

Nifty 

Support : 25258,25178
Resist: 25408,25458

Bank Nifty 

Support : 56681, 56500
Resist: 57148, 57200

Today’s call :
Sell Zee Tv

Enjoy Trading 

#OPTIONS  #GIFTNIFTY #BSE
#trading  #intraday #bse #fii #dii 
 #TrumpTariffs #idea #yesbank #crude #Israel209",@Ashokksharma78,"#OPTIONS, #GIFTNIFTY, #BSE, #trading, #intraday, #bse, #fii, #dii, #TrumpTariffs, #idea, #yesbank, #crude, #Israel209","ashok sharmajul 11technically 

nifty 

support  2525825178
resist 2540825458

bank nifty 

support  56681 56500
resist 57148 57200

todays call 
sell zee tv

enjoy trading 

options  giftnifty bse
trading  intraday bse fii dii 
 trumptariffs idea yesbank crude israel209",-1
Sachin,2025-07-11 01:35:13+00:00,"Sachin@Sachin94596741·Jul 11Vedanta Buy Around 443.40 Target 446-450 only for intraday Jab 443 ke Above aaye tabhi buy Kare.

#StockToWatch #StocksToBuy 
#BreakoutStocks #vedanta #intraday
#StockMarket #stockoption
Not Sebi registered1137",@Sachin94596741,"#StockToWatch, #StocksToBuy, #BreakoutStocks, #vedanta, #intraday, #StockMarket, #stockoption","sachinjul 11vedanta buy around 44340 target 446450 only for intraday jab 443 ke above aaye tabhi buy kare

stocktowatch stockstobuy 
breakoutstocks vedanta intraday
stockmarket stockoption
not sebi registered1137",1
Ashok Sharma,2025-07-11 02:54:08+00:00,"Ashok Sharma
@Ashokksharma78
·
Jul 11
Technically 

Nifty 

Support : 25258,25178
Resist: 25408,25458

Bank Nifty 

Support : 56681, 56500
Resist: 57148, 57200

Today’s call :
Sell Zee Tv

Enjoy Trading 

#OPTIONS  #GIFTNIFTY #BSE
#trading  #intraday #bse #fii #dii 
 #TrumpTariffs #idea #yesbank #crude #Israel
209",@Ashokksharma78,"#OPTIONS, #GIFTNIFTY, #BSE, #trading, #intraday, #bse, #fii, #dii, #TrumpTariffs, #idea, #yesbank, #crude, #Israel","ashok sharma


jul 11
technically 

nifty 

support  2525825178
resist 2540825458

bank nifty 

support  56681 56500
resist 57148 57200

todays call 
sell zee tv

enjoy trading 

options  giftnifty bse
trading  intraday bse fii dii 
 trumptariffs idea yesbank crude israel
209",-1
Sachin,2025-07-11 01:35:13+00:00,"Sachin
@Sachin94596741
·
Jul 11
Vedanta Buy Around 443.40 Target 446-450 only for intraday Jab 443 ke Above aaye tabhi buy Kare.

#StockToWatch #StocksToBuy 
#BreakoutStocks #vedanta #intraday
#StockMarket #stockoption
Not Sebi registered
1
137",@Sachin94596741,"#StockToWatch, #StocksToBuy, #BreakoutStocks, #vedanta, #intraday, #StockMarket, #stockoption","sachin


jul 11
vedanta buy around 44340 target 446450 only for intraday jab 443 ke above aaye tabhi buy kare

stocktowatch stockstobuy 
breakoutstocks vedanta intraday
stockmarket stockoption
not sebi registered
1
137",1
